# Object	Reference	Metallicity	[O/H]	[C/H]
CS22878-101	D.K.Lai+ApJ66711852007	-2.93		-3.25
CS22878-101	M.Spite+AAP4306552005	-3.25		-3.45
CS22878-101	A.McWilliam+AJ10927361995			
CS22878-101	J.G.Cohen+ApJ778562013	-3.07		
CS22878-101	S.M.Andrievsky+AAP509A882010	-3.25		
CS22878-101	P.Francois+AAP4769352007	-3		
CS22878-101	Y.Ishimaru+ApJ600L472004	-3.1		
CS22878-101	I.U.Roederer+ApJ7841582014	-3.3	-2.3	-3.9
CS22878-101	S.M.Andrievsky+AAP4814812008	-3.25		
CS22878-101	S.M.Andrievsky+AAP49410832009	-3.25		
CS22878-101	R.Cayrel+AAP41611172004	-3.25		-3.43
CS22878-101	J.G.Cohen+AJ1244702002	-3.07		
CS22878-101	M.Spite+AAP541A1432012	-3.25		
CS22878-101	E.Carretta+AJ1244812002	-3.09		
CS22878-101	K.A.Venn+AJ12811772004			
CS22878-101	S.M.Andrievsky+AAP46410812007	-3.25		
CS22878-101	I.U.Roederer+AJ1471362014	-3.3	-2.3	-3.9
CS22878-101	M.Spite+AAP4552912006	-3.25		-3.37
CS22878-101	M.Spite+AAP528A92011	-3.25		
CS22879-012	I.U.Roederer+AJ1471362014	-2.81	-2.45	-2.65
CS22879-029	I.U.Roederer+AJ1471362014	-2.35	-1.8	-1.09
CS22879-029	J.A.Johnson+ApJ65812032007	-1.93		-0.5
CS22881-036	I.U.Roederer+AJ1471362014	-2.37	-1.79	-0.38
